file;label;t1;t2;f1;f2;class;confiance;overlap
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations230222/Car340049-2022-Pass1-Z3-9388_20220601_092153_400.txt;Luscinia megarhynchos 0 1 1;161.743402;162.824787;1160.483032;2844.580078;Luscinia megarhynchos;0;1
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations230222/Car340049-2022-Pass1-Z3-9388_20220530_112951_795.txt;Non identifié;214.308254;219.507563;305.944092;1344.953735;Non identifié;;
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations230222/Car340049-2022-Pass1-Z3-9388_20220530_112951_795.txt;Non identifié;220.450693;224.876152;280.324493;974.374268;Non identifié;;
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations230222/Car340049-2022-Pass1-Z3-9388_20220530_112951_795.txt;Non identifié;225.916013;230.220557;237.050232;1063.033569;Non identifié;;
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations230222/Car340049-2022-Pass1-Z3-9388_20220530_122054_563.txt;Non identifié;25.051806;29.485953;-1;326.600342;Non identifié;;
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations230222/Car340049-2022-Pass1-Z3-9388_20220530_122054_563.txt;Non identifié;26.019666;29.125819;-1;340.206299;Non identifié;;
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations230222/Car340049-2022-Pass1-Z3-9388_20220531_110714_405.txt;Non identifié;0;14.058004;349.384827;516.293762;Non identifié;;
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations230222/Car340049-2022-Pass1-Z3-9388_20220531_110714_405.txt;Non identifié;25.552107;32.613701;305.900787;622.924316;Non identifié;;
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations230222/Car340049-2022-Pass1-Z3-9388_20220531_110714_405.txt;Non identifié;88.08524;88.834855;475.323212;664.757263;Non identifié;;
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations230222/Car340049-2022-Pass1-Z3-9388_20220531_110714_405.txt;Non identifié;91.920229;93.278227;512.488953;716.706848;Non identifié;;
