file;label;t1;t2;f1;f2;class;confiance;overlap
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations/Car340332-2014-Pass1-Z1-le_Suquet_lr2EE1-_0_20140425_094240_751.txt;Luscinia megarhynchos 0 1 1;14.615479;16.644126;1962.384888;4048.971191;Luscinia megarhynchos;0;1
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations/Car340332-2014-Pass1-Z1-le_Suquet_lr2EE1-_0_20140425_094240_751.txt;Luscinia megarhynchos 0 1 1;19.410463;21.001107;1838.183228;3974.450195;Luscinia megarhynchos;0;1
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations/Car340332-2014-Pass1-Z1-le_Suquet_lr2EE1-_0_20140425_094240_751.txt;Luscinia megarhynchos 0 1 1;25.95746;27.732526;1540.099487;5415.188477;Luscinia megarhynchos;0;1
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations/Car340332-2014-Pass1-Z1-le_Suquet_lr2EE1-_0_20140425_094240_751.txt;Luscinia megarhynchos 0 1 1;30.775497;33.703203;1788.502563;5365.507813;Luscinia megarhynchos;0;1
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations/Car340332-2014-Pass1-Z1-le_Suquet_lr2EE1-_0_20140425_094240_751.txt;Luscinia megarhynchos 0 1 1;39.51251;40.665151;1440.738281;4918.382324;Luscinia megarhynchos;0;1
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations/Car340332-2014-Pass1-Z1-le_Suquet_lr2EE1-_0_20140425_094240_751.txt;Luscinia megarhynchos 0 1 1;53.044508;54.358518;1266.855957;4943.222168;Luscinia megarhynchos;0;1
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations/Car340332-2014-Pass1-Z1-le_Suquet_lr2EE1-_0_20140425_094240_751.txt;Luscinia megarhynchos 0 1 1;68.121043;69.181472;1664.301025;4421.575684;Luscinia megarhynchos;0;1
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations/Car340332-2014-Pass1-Z1-le_Suquet_lr2EE1-_0_20140425_094240_751.txt;Luscinia megarhynchos 0 1 1;71.4637;72.731604;1316.536743;5290.986816;Luscinia megarhynchos;0;1
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations/Car340332-2014-Pass1-Z1-le_Suquet_lr2EE1-_0_20140425_094240_751.txt;Luscinia megarhynchos 0 1 1;93.179443;95.968833;3129.879395;3949.610107;Luscinia megarhynchos;0;1
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations/Car340332-2014-Pass1-Z1-le_Suquet_lr2EE1-_0_20140425_094240_751.txt;Luscinia megarhynchos 0 1 1;101.77814;103.368784;1465.578613;4222.853516;Luscinia megarhynchos;0;1
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations/Car340332-2014-Pass1-Z1-le_Suquet_lr2EE1-_0_20140425_094240_751.txt;Luscinia megarhynchos 0 1 1;136.103769;138.708736;1752.464778;4794.180664;Luscinia megarhynchos;0;1
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations/Car340332-2014-Pass1-Z1-le_Suquet_lr2EE1-_0_20140425_094240_751.txt;Luscinia megarhynchos 0 1 1;268.104139;268.887934;1167.494751;2931.157227;Luscinia megarhynchos;0;1
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations/Car340332-2014-Pass1-Z1-le_Suquet_lr2EE1-_0_20140425_094240_751.txt;Luscinia megarhynchos 0 1 1;305.426632;307.086434;1515.259155;4545.777344;Luscinia megarhynchos;0;1
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations/Car340332-2014-Pass1-Z1-le_Suquet_lr2EE1-_0_20140425_094240_751.txt;Luscinia megarhynchos 0 1 1;335.210858;337.262558;1614.620483;4098.651855;Luscinia megarhynchos;0;1
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations/Car340332-2014-Pass1-Z1-le_Suquet_lr2EE1-_0_20140425_094240_751.txt;Luscinia megarhynchos 0 1 1;404.484541;405.637182;1068.133545;5340.66748;Luscinia megarhynchos;0;1
C:/Users/yvesb/Documents/Tadarida/Pablo/annotations/Car091142-2020-Pass1-Z1-015652-ETOIL_20200802_111119_864.txt;Non identifie;2.819924;3.551676;238.081314;3919.186035;Non identifie;;
